emp_no,emp_title_id,birth_date,first_name,last_name,sex,hire_date
103676,e0003,12/2/1964,Karoline,Matzov,F,8/6/1987
93916,e0002,8/14/1957,Rosalie,Rousseau,F,11/7/1998
430653,e0003,8/25/1960,Masoud,Peroz,F,9/30/1989
293744,s0001,4/29/1952,Kolar,Carrere,M,6/30/1987
222134,e0003,3/10/1962,Qunsheng,Speer,M,2/13/1986
465348,e0002,7/10/1958,Limsoon,Beznosov,M,2/9/1992
92149,s0001,3/19/1957,Serenella,Kamber,F,9/14/1988
406318,e0003,10/3/1952,Hitomi,Gunderson,M,11/22/1987
259126,s0001,7/5/1953,Dines,Encarnacion,M,8/2/1986
42625,s0001,12/12/1957,Harngdar,Swick,F,5/28/1986
85093,s0002,1/30/1959,Nectarios,Covnot,M,4/24/1990
281320,e0003,12/14/1960,Karoline,Ratzlaff,F,2/10/1995
402202,e0004,10/14/1959,Leni,Pusterhofer,M,1/29/1995
419277,e0004,10/10/1953,Freyja,Uhrig,M,12/20/1986
451259,s0001,9/18/1956,Zhenhua,Milicic,M,8/4/1986
225842,e0002,3/13/1952,Bowen,Schmezko,M,5/30/1986
62038,s0001,9/27/1959,Shiv,Narlikar,F,9/3/1987
256701,e0003,11/24/1952,Chikako,Veevers,F,7/10/1988
205366,s0002,2/21/1964,Kazuhira,Shimshoni,F,4/15/1987
101013,e0003,2/24/1961,Leen,Pappas,M,11/19/1989
212882,s0001,12/26/1958,Changho,Pietracaprina,F,2/13/1992
21620,s0001,11/24/1960,Shaowen,Pramanik,M,12/27/1992
223670,e0003,8/8/1952,Erez,Chinin,F,7/1/1990
209422,e0002,7/28/1964,Reinhard,Gischer,M,1/12/1999
403328,e0003,3/28/1959,Shem,Kroha,M,9/22/1994
292694,e0003,6/20/1964,Kauko,Demizu,M,12/8/1990
483560,s0001,12/26/1960,Yannik,Krybus,M,10/20/1985
270554,s0001,6/11/1959,Percy,Litecky,F,8/16/1993
37601,s0001,12/14/1962,Gilbert,Naumovich,M,9/19/1992
437985,s0001,6/12/1954,Reuven,Munke,M,4/13/1986
14097,s0001,3/18/1963,Khalil,Gniady,M,12/4/1990
221689,e0003,2/3/1960,Fayez,Harllee,F,1/1/1987
62117,e0003,6/25/1964,Bojan,Crouzet,F,6/10/1994
213813,s0001,7/11/1955,Tsuneo,Matzat,M,1/7/1989
28823,s0001,9/29/1958,Tonny,Skafidas,M,6/20/1988
284330,e0002,4/5/1954,Bangqing,Pehl,F,9/30/1996
107258,s0001,12/21/1953,Parviz,Zaumen,F,4/4/1987
209527,s0001,9/26/1962,Sashi,Danlos,M,1/30/1998
207774,s0001,8/17/1953,KayLiang,Trachtenberg,M,5/2/1988
11980,s0001,7/3/1955,Yechezkel,Pews,M,1/20/1992
270258,e0003,4/5/1953,Feipei,Hasenauer,M,3/5/1995
492191,e0002,4/29/1962,Remco,Vakili,F,8/15/1990
457800,s0001,9/20/1963,Stabislas,Domenig,M,8/4/1986
446142,e0003,8/22/1961,Gregory,Zedlitz,F,7/10/1993
201769,e0004,11/6/1961,Jayesh,Merel,M,9/26/1992
56049,s0001,7/15/1952,Felicidad,Waymire,F,1/15/1988
414537,s0001,8/13/1960,Chikara,Businaro,M,1/4/1987
414885,s0001,8/3/1962,Candido,Vecchi,M,8/27/1995
474291,e0003,12/1/1959,Juichirou,Jumpertz,M,9/18/1986
250218,e0003,1/30/1953,Uriel,Zongker,M,1/25/1988
451340,s0001,12/8/1961,Satosi,Zyda,M,10/9/1987
413842,e0003,10/20/1962,Christoph,Bahr,F,10/9/1990
464798,e0003,2/18/1954,Gen,Merey,M,3/23/1989
37176,e0003,3/1/1955,Panayotis,Daescu,M,1/25/1988
109820,e0001,11/11/1952,Juichirou,Ghelli,F,12/13/1986
246896,e0002,3/14/1958,Francoise,Baik,F,7/24/1996
474804,s0001,10/31/1958,Ziva,Merlo,M,10/30/1994
217945,s0002,3/19/1953,Shmuel,Georg,M,11/30/1986
109600,s0001,4/12/1955,Xuejun,Chvatal,M,10/22/1991
230858,s0001,5/13/1960,Conal,Dayana,F,8/29/1990
279661,s0002,3/9/1954,Xiadong,Bach,M,4/29/1986
287414,e0003,6/4/1957,Arie,Kamble,M,7/1/1988
210499,s0001,7/26/1954,Pintsang,Peron,M,11/9/1988
268566,s0001,1/26/1962,Panayotis,Parveen,M,4/4/1997
53312,s0001,4/29/1959,Quingbo,Lagarias,M,11/7/1987
214747,s0001,6/3/1954,Rutger,Grospietsch,F,12/30/1990
231751,s0002,9/23/1952,Van,Lunn,F,11/25/1992
201452,e0002,4/19/1959,Karsten,Alpin,M,2/19/1998
435436,e0003,3/31/1960,Tiina,Ozeki,F,10/20/1995
98882,e0003,3/12/1954,Yishay,Vanwelkenhuysen,F,11/17/1989
42924,e0003,10/24/1961,Mads,Felcyn,F,3/20/1992
78316,e0004,1/14/1962,Roselyn,Rahimi,M,3/15/1995
430484,e0003,10/29/1962,Hairong,Soicher,F,3/14/1987
401368,e0002,3/31/1960,Vidar,Azumi,M,12/4/1991
211383,s0001,9/24/1960,Uli,Candan,M,11/17/1992
452859,s0001,4/13/1960,Gudjon,Poupard,M,8/28/1988
11842,s0001,3/31/1954,Moto,Piazza,M,12/11/1991
439095,s0001,4/21/1955,Changho,Matzat,M,12/6/1989
427027,s0001,11/4/1964,Patricio,Butner,M,8/22/1987
496429,s0001,11/5/1960,Takanari,Luders,M,2/18/1988
219797,s0001,1/24/1956,Neelam,Demeyer,M,3/4/1990
293183,e0002,11/5/1952,Guangming,Butterworth,F,10/1/1986
439788,e0002,5/14/1958,Irene,Setia,F,8/10/1986
431759,e0002,2/1/1965,Alassane,Ramsay,M,11/5/1987
426193,s0001,2/10/1954,Huiqun,Rattan,M,3/23/1985
416364,e0003,2/5/1962,Zissis,Mateescu,M,11/26/1989
207791,e0002,8/30/1957,Jahangir,Schmittgen,M,8/20/1988
277176,s0001,7/7/1956,Kyoichi,Simmel,M,12/18/1994
22638,e0004,12/28/1963,Mantis,Otillio,F,8/10/1988
205714,e0003,8/27/1954,Anwar,Ellozy,M,12/12/1991
218042,s0001,1/11/1960,Dharmaraja,Berstel,M,8/8/1995
36965,e0003,1/7/1953,Yechiam,Munch,M,3/8/1988
218058,s0002,7/27/1958,Aiman,Szemeredi,M,8/30/1988
10966,s0001,7/4/1962,Danel,Pardalos,M,11/7/1989
423740,e0003,8/19/1954,Jaroslava,Bardell,F,12/1/1987
468180,s0001,12/20/1959,Mads,Swen,M,7/1/1992
207996,s0001,5/9/1956,Tianruo,Milicic,F,5/29/1991
286451,e0003,2/10/1960,Shuichi,Swiler,M,6/8/1986
30871,e0004,6/18/1959,Michaela,Glowinski,M,3/2/1987
260621,e0003,5/2/1953,Christophe,Binding,M,2/12/1991
24103,s0001,5/31/1954,Martins,Schaft,M,3/27/1985
78524,s0001,5/8/1954,Zhiwei,Bahk,F,8/11/1988
494351,s0002,10/11/1956,Boriana,Maginnis,M,11/9/1985
239616,e0004,2/9/1955,Chenyi,Benveniste,M,3/30/1990
469619,e0003,9/17/1955,Nakhoon,Bennis,M,12/1/1989
36372,s0002,7/24/1953,Ronghao,Conta,F,6/29/1992
260402,e0003,8/7/1956,Kwok,Bach,M,4/25/1990
469215,e0002,1/11/1956,Juyoung,Smailagic,F,9/15/1987
69005,e0003,5/2/1959,Alain,Quadeer,M,6/10/1991
279559,s0001,3/17/1957,Jasminko,Cronan,F,10/27/1992
421244,s0001,11/23/1955,Ortrun,Ladret,F,1/18/1987
16854,s0001,8/5/1957,Vasilis,Lindqvist,F,7/27/1995
489740,e0003,10/17/1959,Mona,Uhrig,F,10/13/1985
470413,s0001,3/29/1958,Uzi,Poehlman,M,7/13/1985
78630,s0001,1/15/1961,Perry,Francisci,M,5/7/1996
486205,e0003,3/21/1953,Bodh,Baez,F,4/28/1985
295979,s0001,9/29/1962,Akeno,Benzaken,M,3/17/1989
486568,e0003,3/25/1955,Kiam,Pappas,M,5/8/1987
43646,s0001,3/17/1960,Xiaoshan,Lorcy,M,3/5/1987
285571,e0003,1/1/1956,Marke,Rosis,F,9/22/1987
13503,s0001,10/28/1962,Renee,Milicia,M,7/30/1985
478993,s0001,11/20/1957,Danny,Buchter,M,2/8/1989
467561,e0002,7/4/1953,Ekawit,Schmittgen,M,11/24/1996
19442,e0003,9/11/1952,Terresa,Perez,F,9/12/1986
476968,s0001,2/20/1957,Shaleah,Wallrath,M,3/25/1985
10202,e0003,1/5/1956,Greger,Lichtner,M,10/6/1991
462600,e0003,7/7/1954,Uriel,Chvatal,F,6/16/1990
93898,e0003,2/23/1956,Zdislav,Alameldin,F,8/28/1989
25597,s0001,3/21/1959,Emran,Gecsei,M,12/7/1991
496161,e0003,12/1/1964,Tonny,Stille,M,8/15/1993
272646,e0002,5/8/1955,Youngkon,Bahr,M,5/24/1995
461800,s0002,6/21/1962,Nadjib,Ratnakar,F,1/25/1994
452506,s0001,10/7/1962,Val,Bahr,F,7/5/1987
46470,e0004,5/31/1954,Adhemar,Rassart,M,6/18/1987
251789,s0002,5/22/1955,Apostol,Servi,M,3/19/1990
80738,e0002,9/9/1957,Udi,Rouquie,M,1/13/1988
437837,e0003,5/29/1959,Abdulah,Brandsma,M,8/29/1992
404252,e0002,8/3/1960,Ziya,Condotta,M,9/1/1988
493133,e0002,8/26/1959,Lidong,Borovoy,M,5/30/1986
293313,s0002,12/21/1960,Dinkar,Trelles,F,10/12/1987
240358,e0003,12/11/1958,Fox,Masamoto,F,12/7/1992
453362,s0001,8/21/1964,Yucel,Parascandalo,M,6/27/1990
31634,e0003,6/7/1954,Mohua,Rubsam,F,4/4/1988
45051,e0003,12/31/1964,Girolamo,Billawala,M,6/9/1995
468780,s0001,3/17/1959,Filipp,Schnelling,M,11/27/1992
208208,e0003,12/22/1961,Jianhua,Delgrossi,M,2/6/1989
11079,e0003,9/18/1952,Piyush,Garigliano,M,10/9/1993
210347,s0001,5/29/1952,Junichi,Kowalchuk,F,9/28/1991
418149,e0003,4/27/1962,Xuejun,Luiz,M,2/17/1985
248886,e0003,9/7/1960,Geoffrey,Murrill,M,11/16/1990
435490,e0002,4/23/1959,Zhensheng,Covnot,M,1/29/1994
85550,e0003,5/7/1964,Gro,Peak,M,11/12/1987
10853,e0004,3/22/1964,Yoshinari,Kalloufi,F,5/3/1993
213716,e0002,3/8/1963,Ibibia,Waleschkowski,M,9/26/1991
455423,e0003,5/5/1960,Aamer,Koyama,M,7/7/1990
484774,s0001,11/11/1953,Brigham,Cherinka,M,5/1/1992
480539,s0001,6/26/1959,Boriana,Roisin,M,3/26/1985
282829,s0001,3/23/1958,Kiyokazu,Weisert,M,3/8/1989
101125,e0003,7/9/1957,Teiji,Eickenmeyer,M,9/3/1986
52254,s0001,6/30/1962,Yuguang,Nations,M,5/16/1987
44743,e0004,5/4/1958,Augustine,Sigstam,M,8/5/1991
57730,s0002,9/25/1962,Shuichi,Leijenhorst,M,9/23/1987
222732,s0001,8/23/1960,Alassane,Radivojevic,M,1/21/1989
279067,e0002,1/18/1960,Szabolcs,Rajaraman,F,6/27/1993
422297,e0002,4/5/1963,Tsvetan,Flexer,M,5/15/1990
414400,s0001,8/3/1952,Stella,Dayang,F,3/17/1985
230906,s0001,8/4/1954,Qunsheng,Marchegay,M,9/9/1988
458896,s0001,3/9/1959,Stabislas,Perri,M,3/29/1992
293092,s0002,6/20/1956,Baocai,Kroha,F,10/27/1986
441170,e0003,10/14/1961,Shir,Munck,F,5/6/1996
496147,e0003,3/28/1959,Jianwen,Neiman,F,4/17/1990
34573,e0003,12/18/1961,Hatsukazu,Kampfer,M,4/2/1988
428991,s0001,9/1/1960,Wojceich,Baba,M,3/14/1995
40602,e0004,7/20/1964,Make,Mattern,M,11/5/1994
459062,e0002,8/5/1960,Suvo,Delgrange,M,5/5/1994
253130,e0003,3/15/1961,Mahmut,Talmor,F,10/25/1990
472397,s0001,5/14/1961,Danco,Matzel,M,10/30/1990
40014,e0004,1/15/1954,Maha,Meriste,M,8/12/1989
41622,s0001,8/1/1964,Jouni,Fetvedt,F,6/1/1992
446342,e0002,3/15/1956,Mantis,Krupka,F,2/1/1995
494817,e0004,7/30/1963,Rasiah,Smeets,M,4/28/1985
51016,s0001,4/3/1961,Vatsa,Zykh,M,7/7/1998
207377,e0002,9/1/1962,Udaiprakash,Feldhoffer,F,9/21/1989
486617,s0001,6/8/1960,LiMin,Orsini,M,1/21/1990
283440,s0001,9/10/1961,Leen,Krichel,M,4/8/1991
96561,s0001,1/5/1961,Hercules,Portugali,M,10/6/1988
258170,e0002,3/20/1959,Morrie,Sridhar,M,3/4/1986
204958,s0001,8/11/1963,Morrie,Katzenelson,F,3/4/1991
442026,e0002,3/24/1957,Mart,Tischendorf,M,12/11/1994
85808,s0002,1/24/1955,Unal,Kermarrec,F,3/3/1994
441662,s0001,2/8/1964,Hongzhu,Chenney,F,7/7/1992
64385,e0003,3/13/1956,Lokesh,Poujol,M,3/29/1988
405965,e0003,2/11/1960,Oguz,Thisen,M,11/18/1988
41986,s0001,5/11/1956,Conal,Wilfing,F,9/18/1985
11012,s0001,9/12/1953,Taegyun,Speckmann,F,12/28/1986
268613,e0001,5/8/1952,Tadahiko,Cherinka,F,2/17/1990
82413,e0003,1/26/1958,Stabislas,McFarlin,M,7/19/1986
67762,s0001,7/27/1952,Jeanna,Francisci,F,8/21/1985
452220,e0002,9/26/1955,Ingemar,Schahn,M,3/19/1989
206827,e0003,7/26/1952,Badri,Selvestrel,M,7/4/1989
298781,e0003,7/16/1956,Yagil,Collavizza,F,5/30/1987
50928,e0003,5/1/1962,Ziva,Bellone,M,6/23/1991
85630,e0003,3/16/1959,Gladys,Randt,M,10/15/1985
446313,e0003,1/28/1954,Howell,Benzmuller,M,5/28/1994
10571,e0003,12/10/1963,Fun,Varman,M,2/24/1985
76229,e0003,10/27/1958,Shigehiro,Trogemann,M,10/28/1985
441330,e0001,12/6/1962,Richara,Ducloy,M,12/15/1996
446501,e0003,11/14/1960,Rayond,Deville,F,2/13/1987
484430,s0001,8/10/1959,Roded,Schach,M,6/14/1987
35711,e0003,6/17/1958,Apostol,Ghelli,M,4/7/1986
462013,s0002,5/17/1959,Maik,Bernardeschi,M,3/28/1988
234161,e0002,3/19/1959,Elgin,Backhouse,F,3/10/1992
93255,s0001,12/10/1956,Mihalis,Wegerle,M,10/6/1989
210276,s0002,9/6/1963,Nidapan,Braunmuhl,F,10/14/1985
14193,e0001,2/23/1964,Lucien,Kornyak,F,11/1/1994
258494,e0002,3/10/1956,Rayond,Asser,F,5/22/1993
86672,s0001,1/15/1965,JoAnne,Anido,F,3/5/1985
423290,s0001,3/4/1964,Geoff,Underwood,F,2/10/1995
25385,e0003,7/30/1964,Joydip,Tsukuda,F,1/13/1989
244316,s0001,11/7/1954,Khun,Kuszyk,M,6/30/1986
27995,s0001,5/15/1953,Yunming,Serre,M,6/22/1987
475572,e0003,10/13/1959,Elvia,Cunliffe,M,4/11/1991
262519,s0001,4/15/1958,Jamaludin,Knightly,M,1/4/1993
33808,e0003,10/2/1964,Van,Miara,M,6/20/1985
70498,s0001,8/21/1955,Kien,Naumovich,F,11/1/1993
209612,e0003,6/16/1963,Honesty,Schrooten,F,8/24/1985
488918,s0001,9/8/1952,Tamiya,Munos,F,5/15/1992
255456,s0001,5/19/1953,Aleksandar,Tibblin,F,3/13/1985
225156,s0001,9/2/1959,Conor,Flanders,M,2/21/1986
19621,e0003,5/24/1954,Radhakrishnan,Albarhamtoshy,M,5/7/1986
451322,s0001,6/1/1960,Gadiel,Journel,M,3/8/1989
497659,e0002,9/8/1953,Susanna,Isard,M,3/7/1993
412477,e0002,2/6/1963,Xiaobin,Janetzko,M,1/14/1988
404690,s0002,12/3/1960,Hidde,Morton,M,8/11/1985
447021,s0001,9/9/1954,Shigeu,Denna,F,4/10/1986
292420,e0003,7/2/1961,Uma,Felder,M,12/13/1991
214723,s0001,4/29/1956,Genki,Casley,M,7/12/1988
285589,s0002,12/7/1956,Uta,Frolund,M,1/22/1986
213776,e0002,5/13/1961,Hongzhu,McAlpine,M,12/5/1991
297557,e0004,3/8/1964,Elliott,Mayerwieser,F,1/24/1995
201423,e0002,2/16/1953,Phule,Parveen,M,8/30/1994
459789,s0001,8/20/1962,Paddy,Candan,M,6/8/1990
438835,e0003,12/17/1954,Constantijn,Penz,M,3/19/1985
470360,e0003,1/11/1960,Shrikanth,Hitomi,F,2/13/1987
273830,e0003,1/13/1961,Chrisa,Demizu,M,6/3/1985
205312,s0001,10/15/1956,Arco,Matzat,M,10/3/1990
14296,e0001,2/9/1959,Ronnie,Rosen,M,10/26/1990
293141,e0003,6/21/1964,Zhiwei,Kaminger,M,7/4/1986
84577,e0003,10/5/1957,Satyanarayana,Garigliano,F,4/25/1985
495278,e0003,12/12/1958,Mayuko,Bisiani,M,2/23/1989
405076,e0003,3/4/1963,Marit,Baby,M,1/13/1990
77286,e0003,11/26/1963,Mang,Spelt,M,6/9/1993
469432,s0001,9/15/1964,Arlette,Reeker,M,5/4/1988
230316,s0001,7/22/1954,Magdalena,Billingsley,M,1/22/1989
208132,e0003,8/13/1953,Sven,Krider,F,9/25/1986
77078,e0002,2/4/1953,Yannik,Vakili,M,11/9/1986
272976,s0001,6/10/1954,Augustine,Hiraishi,F,7/23/1988
268856,e0003,11/20/1953,Kazuhiro,Doering,M,7/23/1987
440237,e0002,3/21/1963,Chaoyi,Luit,M,6/18/1990
218310,s0001,10/22/1954,Mara,Vidya,M,4/3/1995
433062,s0002,10/7/1957,Kiam,Erman,M,3/4/1990
287553,e0003,6/26/1956,Khatoun,Zeilberger,F,1/31/1986
290340,e0002,2/26/1963,Morrie,Stille,M,11/28/1985
418656,s0001,1/29/1963,Aluzio,Egerstedt,F,4/4/1989
271092,s0001,7/7/1954,Subbu,Hennings,M,3/10/1990
17373,e0003,1/31/1959,Shugo,Ponthieu,M,2/2/1988
64364,e0003,11/28/1959,Masami,Rullman,M,2/10/1989
470712,e0002,8/5/1961,Fox,Erva,F,5/6/1986
432752,s0001,12/28/1959,Huai,Birrer,M,3/28/1986
451811,s0001,7/25/1953,Nalini,Rabehasaina,F,9/24/1987
238234,s0001,10/27/1958,Bernice,Murtha,M,4/20/1993
78532,e0003,3/22/1963,Marit,Birrer,F,1/6/1993
264944,e0003,7/15/1963,Ugo,Chimia,M,11/28/1987
19712,s0001,9/5/1953,Kristine,Litzler,M,1/9/1986
482398,s0001,7/28/1962,Lillian,DuBourdieux,F,7/11/1991
451314,e0003,7/7/1956,Fuqing,Demizu,M,2/8/1992
71064,s0001,7/13/1954,Kokou,Genther,F,5/28/1985
410614,e0003,8/27/1959,Valter,Baby,F,8/26/1991
51841,e0002,9/23/1960,Kristof,Honglei,M,1/3/1993
218907,s0001,12/28/1953,Chikako,Schade,F,6/27/1990
231612,s0001,10/6/1959,Eirik,Farrel,F,9/19/1986
450610,s0001,10/24/1954,Wayne,Levergood,M,5/5/1986
261707,s0001,5/1/1958,Chenye,Gurbaxani,F,1/13/1991
88922,e0004,10/7/1964,Niteen,Alpay,M,5/28/1990
283262,s0001,5/20/1954,Chrisa,Cullers,M,1/28/1986
490354,e0003,3/20/1961,Manton,Perko,M,6/18/1986
80837,s0001,8/31/1952,Nigel,Tempesti,F,7/19/1990
473097,s0001,8/29/1952,Shooichi,Linnainmaa,M,11/9/1987
28718,s0001,6/11/1961,Etsuo,Ratzlaff,M,1/15/1986
290492,s0001,1/4/1963,Sorina,Cummings,F,7/31/1994
499788,s0001,7/2/1957,Matk,Goodrum,M,4/25/1994
11447,e0003,7/23/1961,Rasiah,Billawala,M,9/18/1985
288054,s0001,12/9/1959,Odysseas,Erie,M,2/6/1986
238612,s0001,2/12/1959,Toshimitsu,Montemayor,M,10/5/1988
17422,e0002,5/6/1961,Adil,Lemarechal,F,2/18/1992
405029,e0002,10/8/1962,Stevo,Karlin,M,8/11/1987
407766,s0001,12/7/1954,Yoshinari,Schmittgen,F,8/1/1985
424666,s0001,11/16/1958,Ingmar,Lambe,M,10/21/1986
476669,s0002,10/14/1957,Persi,Piancastelli,F,12/21/1991
30512,s0001,5/23/1959,Danel,Bellmore,F,2/8/1985
253805,e0003,1/12/1955,Malu,Fargier,F,2/10/1985
15143,s0002,8/4/1953,Chiradeep,Krupka,M,1/10/1989
86440,s0001,11/3/1956,Jamaludin,Nitsche,F,9/21/1997
245089,s0001,6/7/1960,Peer,Melski,M,4/19/1992
480134,e0003,4/3/1963,Magdalena,Basart,M,11/12/1989
75099,e0002,7/8/1957,Arunas,Vandervoorde,M,10/30/1993
72141,s0001,4/2/1955,Gilbert,Qiwen,F,7/6/1993
261049,s0001,7/3/1952,Naraig,Cooman,M,3/25/1993
441769,s0002,10/5/1955,Irena,Sundgren,M,5/4/1990
419093,s0001,6/4/1959,Khosrow,Emden,M,10/4/1992
430062,e0003,8/17/1962,Ult,Budinsky,M,6/9/1990
200022,s0001,9/11/1961,Ortrud,Menhardt,M,2/5/1995
246948,s0001,8/11/1955,Leaf,Przulj,M,10/28/1989
277082,s0001,9/2/1952,Phule,Belinskaya,M,3/17/1993
33014,e0003,1/4/1960,Dante,Furedi,M,7/7/1993
29239,e0002,6/20/1959,Nagui,Rosca,M,4/15/1991
86833,e0002,8/15/1961,Genta,Cardazo,M,12/12/1987
454407,s0001,3/19/1957,Wayne,Molberg,F,11/14/1990
277149,s0002,5/31/1964,Kellie,Spinelli,F,1/16/1988
218904,e0001,2/28/1960,Nakhoon,Nastansky,M,3/10/1985
251732,s0001,12/10/1959,Junsik,Fortenbacher,M,12/4/1992
202995,s0002,4/18/1959,Margareta,Strandh,F,12/24/1985
421718,s0001,3/3/1958,Mantis,Shumilov,M,1/11/1993
66094,e0004,6/3/1959,Masali,Trogemann,F,2/13/1985
422949,s0001,4/22/1955,Vishv,Stentiford,M,10/6/1988
491322,e0004,9/24/1959,Guther,Validov,M,5/21/1995
499197,e0003,9/10/1954,Akemi,Rajaraman,M,11/13/1985
66872,s0002,3/5/1958,Herbert,Itschner,M,6/6/1993
444887,e0003,7/8/1956,Jiakeng,Ginesta,F,11/7/1992
262594,s0002,3/28/1964,Owen,Boudaillier,F,8/1/1988
32627,e0003,9/30/1959,Khalid,Merkl,F,12/24/1991
280330,e0003,6/2/1954,Saniya,Gladwell,F,11/19/1989
491499,e0003,1/11/1955,Heather,Perz,F,4/2/1987
295069,s0001,12/17/1964,Roddy,Pouyioutas,M,6/28/1990
281244,e0004,12/31/1952,Marke,Vural,F,3/9/1988
75219,e0002,6/27/1959,Reinhold,Fritzsche,M,4/28/1996
411700,s0001,11/22/1959,Otmar,Yoshimura,M,4/3/1993
90738,e0003,3/17/1952,Pranav,Christianini,M,2/24/1985
45381,e0002,5/19/1964,Masaki,McFarlan,F,3/17/1993
13819,e0002,10/15/1959,Honglan,Percebois,M,3/3/1999
415948,e0003,7/10/1959,Marin,Ashish,M,7/11/1986
429536,s0001,11/2/1957,Toney,Sambasivam,M,12/7/1992
241350,s0001,2/1/1958,Gretta,Leslie,M,11/4/1994
231552,s0001,7/31/1962,Bernt,Munke,F,11/30/1995
430657,s0001,10/2/1958,Guadalupe,Kroha,F,1/2/1989
65328,e0003,1/10/1959,Muneo,Erde,F,1/12/1990
461247,e0002,3/18/1960,Aimee,Coorg,F,5/2/1995
494822,s0001,4/21/1955,Naftaly,Luga,M,11/11/1987
279041,e0003,5/6/1962,JiYoung,Delaune,M,9/4/1986
402841,e0003,12/22/1963,Dayanand,Barinka,M,7/16/1989
439346,s0002,7/26/1961,Kellyn,Takanami,M,1/1/1996
82521,s0001,2/7/1963,Lubomir,Porenta,M,10/20/1987
105131,e0003,2/5/1952,Sandeepan,Sidou,M,1/19/1986
39966,s0001,2/28/1954,Utpal,Beidas,F,5/29/1988
297441,s0001,7/22/1962,Baocai,Fujisawa,F,4/24/1990
49123,e0004,6/3/1964,Nikolaos,Stroustrup,M,6/21/1994
40518,e0002,5/29/1962,Youngkon,Luiz,M,8/23/1996
466414,e0003,9/17/1964,Jordanka,Wroclawski,M,8/26/1988
